phrase,target
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions",neutral
"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars",neutral
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218",neutral
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn",neutral
Terms were not disclosed,neutral
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million,neutral
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner",neutral
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj,neutral
The shops are located in the capital region and the Paijat-Hame region,neutral
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking",neutral
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic,neutral
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers",neutral
Rental of building equipment accounted for 88 percent of the operating income,neutral
"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa",neutral
The company did not disclose the price of the acquisition,neutral
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills",neutral
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland",neutral
"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees",neutral
Investments are not disclosed,neutral
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9,neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform,neutral
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540",neutral
The estimated value of the deal is USD 9.2 million,neutral
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings",neutral
The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V,neutral
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy",neutral
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors",neutral
"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros",neutral
"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation",neutral
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement",neutral
The increase range will vary up to 10 %,neutral
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries",neutral
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net",neutral
No other ev3 devices were involved in this action,neutral
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze",neutral
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets",neutral
`` The issues identified by Stonesoft affect a range of content inspection technology,neutral
The figure does not include food exports from Finland,neutral
The price will be specified at the completion date,neutral
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m,neutral
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla",neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland",neutral
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010",neutral
Less than ten people will face pension agreements,neutral
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others",neutral
Coffee will be served starting at 14:30 EET as well as after the event,neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress,neutral
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland",neutral
The agreement must be approved by the Russian competition authorities before it enters into force,neutral
"`` Over the years , the color orange has become synonymous with quality",neutral
"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process",neutral
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction",neutral
"Nordstjernan will make the offer in approximately one month , in September 2007",neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company,neutral
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008",neutral
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia",neutral
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks",neutral
The total value of the deliveries is some EUR65m,neutral
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola",neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agree",neutral
ND = Not disclosed,neutral
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros",neutral
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces",neutral
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below",neutral
Bluewin Security is available as a monthly subscription,neutral
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland,neutral
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served",neutral
The report contains category level company and brand share as well as distribution share information for 2007 and 2008,neutral
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources",neutral
"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate",neutral
We offer our customers solutions based on renewable raw materials,neutral
"According to latest information , Benefon will launch its Twig device on 20 September 2006",neutral
"128,538 shares can still be subscribed for with Series E share options , max",neutral
The new SEPA cads will replace Finnish bank cards,neutral
The total investment of the project will be approximately EUR 36m,neutral
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008",neutral
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey",neutral
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing",neutral
"industry in Asia +ï¿½ Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia",neutral
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger",neutral
The output of the contracts totals 72 MWe,neutral
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said :",neutral
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver",neutral
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots",neutral
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005,neutral
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report,neutral
"The company will publish its financial statement for 2008 on February 25 , 2009",neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million,neutral
The value of this kind of order amounts usually between Euro 2 and 3 million,neutral
The company will release its 2010 results on 11 February 2011,neutral
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest",neutral
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan,neutral
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division",neutral
The value of the order is EUR 4mn,neutral
"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342",neutral
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks",neutral
The company will propose a dividend of EUR0 .12 per share for 2008,neutral
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B",neutral
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Close",neutral
The products have a low salt and fat content,neutral
The parties have therefore agreed to leave Avena out of the deal,neutral
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . '",neutral
"Our customers include companies in the energy and process industry sectors , in particular",neutral
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group",neutral
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other",neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007,neutral
New Novator products are supposed to be exported,neutral
"The record date for dividend distribution is March 14 , 2008",neutral
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio",neutral
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business",neutral
"ISMS does not disclose its financial results , the daily said",neutral
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand",neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively,neutral
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced",neutral
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia",neutral
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate,neutral
"The contract includes design , construction , delivery of equipment , installation and commissioning",neutral
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation",neutral
The closing of such transaction took place today,neutral
"The interim report for the first quarter is published on May 8 , 2009",neutral
The combined capital of these funds is expected to be EUR 100mn-150mn,neutral
"The total number of voting rights is 74,612,523",neutral
The first of the two project phases is expected to be completed by the end of 2012,neutral
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area",neutral
The number of customers is one of the most important parameters in determining the price of electricity networks,neutral
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007",neutral
The enterprise value of Maritim Food AS has been determined as approximately EUR15m,neutral
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings",neutral
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries",neutral
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India",neutral
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications",neutral
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week",neutral
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks,neutral
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari,neutral
Yvonne Jones is owner of Chameleon Interiors,neutral
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year",neutral
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir,neutral
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai,neutral
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy",neutral
"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007",neutral
The company said that the results of the third quarter do not include non-recurring items,neutral
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries",neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc.",neutral
Decisions are to be made as quickly as possible,neutral
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki",neutral
"In Finland , the five largest brands control 90 % of the beer market",neutral
"The bond , with a maturity of five years , is part of the bank 's domestic bond program",neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes,neutral
The contract value amounts to EUR 2.4 million,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ï¿½skyl+ï¿½ , Oulu and Vaasa , and to polytechnics to be announced later",neutral
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic",neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process,neutral
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations,neutral
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement,neutral
To see a slide show of all the newest product releases from Fiskars,neutral
Registration is required,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed,neutral
The order was worth EUR 8mn,neutral
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros,neutral
`` We know there are some of our own people out there . ',neutral
- Counter your competitor 's strengths and target their weaknesses,neutral
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 %",neutral
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper",neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services,neutral
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110",neutral
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp",neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co.,neutral
The webcast may be followed online on the company website at www.ruukki.com/investors,neutral
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households",neutral
The value of the orders is about EUR 25mn,neutral
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board",neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees,neutral
"no compensation for its news , opinions or distributions",neutral
"With this , the company will exit the contract manufacturing service segment",neutral
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007",neutral
The credit covers approximately 70 % of the ship 's price,neutral
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds",neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK,neutral
The value of the orders is about EUR 70mn,neutral
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse,neutral
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries",neutral
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News",neutral
"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications",neutral
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa",neutral
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter,neutral
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October",neutral
M. and a Master of Business Administration MBA,neutral
The firm builds components for mobile phones and other communications products,neutral
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010",neutral
This includes a EUR 39.5 mn change in the fair value of investment properties,neutral
Construction is expected to be completed in the summer of 2011,neutral
"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71",neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws,neutral
Terms of the acquisition were not disclosed,neutral
"Local government commissioner of +ï¿½m+ï¿½l , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +ï¿½m+ï¿½l",neutral
"The company operates a U.S. division in Lisle , Ill.",neutral
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT,neutral
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems",neutral
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same",neutral
The transaction is expected to be completed next spring,neutral
"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing",neutral
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems",neutral
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said",neutral
He will report to CapMan Plc 's CEO Heikki Westerlund,neutral
The group 's net sales in 2007 were EUR683 .6 m,neutral
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense",neutral
Activities range from the development of natural resources to the retailed marketing of finished products,neutral
"The payment date is March 25 , 2010",neutral
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor,neutral
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units",neutral
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said",neutral
"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860",neutral
Raute is listed on the Nordic exchange in Helsinki,neutral
No financial details of the deployment were disclosed,neutral
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829",neutral
"The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority",neutral
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway",neutral
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005",neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland",neutral
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu,neutral
The capital structure of Solidium may be complemented by other financial instruments in the future,neutral
"The market making in accordance with the agreement will begin on September 24 , 2009",neutral
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities",neutral
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries",neutral
"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent",neutral
"She will succeed Krister Kylas , who has decided to leave TeliaSonera",neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia,neutral
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009",neutral
"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A",neutral
The site will cover over six hectares,neutral
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland,neutral
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007,neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector",neutral
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said",neutral
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m",neutral
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide",neutral
About Dopplr Dopplr is a service for smart travellers,neutral
The platform would continue to be the development framework for Symbian and MeeGo,neutral
"So far as is known , he did not sell shares that he owns personally",neutral
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry,neutral
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members",neutral
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations,neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system",neutral
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004",neutral
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007",neutral
The agreement is valid for four years,neutral
"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders",neutral
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners",neutral
Capital base and capital adequacy measurement is based on approaches under Basel II,neutral
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn",neutral
Lemmink+ï¿½inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s,neutral
"The contract covers the manufacturing , surface-treatment and installation of the steel structures",neutral
Why not give your bedroom a cool makeover for summer,neutral
The issuer is solely responsible for the content of this announcement,neutral
The turbines are expected to be launched by the end of 2012,neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007",neutral
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn",neutral
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds,neutral
"This could be any of us at any time , '' she said",neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35,neutral
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million,neutral
The issuer is solely responsible for the content of this announcement,neutral
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use",neutral
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments",neutral
The sale price was not disclosed,neutral
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 %",neutral
Exel is headquartered in Mantyharju in Finland,neutral
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation,neutral
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement",neutral
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein",neutral
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million",neutral
"Tyrv+ï¿½inen is of the opinion that the airline has been repeating this for some time already , however",neutral
"With the new arrangement , customer responsibilities will become mainly regional",neutral
The combined value of the planned investments is about EUR 30mn,neutral
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland,neutral
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today",neutral
The value of the orders is over EUR 10mn,neutral
"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago",neutral
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares",neutral
The building will house product development and test laboratories,neutral
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh",neutral
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM",neutral
"The final price will be specified by 14 May 2010 , the acquiring company said",neutral
The combined value of the orders is almost EUR 3mn,neutral
The solid fuel is heated before sludge is mixed therein . ',neutral
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day",neutral
Pertti Ervi is independent from the Company and its major shareholders,neutral
"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses",neutral
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea",neutral
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories,neutral
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas,neutral
"Depending on the market situation , such projects are sold after 1 to 3 years after completion",neutral
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum,neutral
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion,neutral
The value of the contract is about EUR 27mn,neutral
The value of the order is nearly EUR400m,neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010,neutral
